DEVICE_PROBLEM_CODE|DEVICE_PROBLEM_DESCRIPTION|ERR_TYPE
1001|Failure to run on AC/DC|Hardware
1002|Abnormal|Unknown
1003|Absorption|Hardware
1004|Accessory incompatible|Unknown
1005|Measurements, inaccurate|Both
1006|Adaptor, failure of|Hardware
1007|Agglutinate, failure to|Unknown
1008|Air leak|Hardware
1009|Alarm, failure of arterial pressure|Unknown
1010|Alarm, audible|Unknown
1011|Delayed alarm|Software
1012|Device alarm system issue|Unknown
1013|False alarm|Software
1014|Defective Alarm|Software
1015|Alarm, intermittent|Both
1016|Low audible alarm|Both
1017|Alarm, failure of low flow|Unknown
1019|Not audible alarm|Both
1020|Alarm, failure of fast heart rate|Unknown
1021|Alarm, no lead|Unknown
1022|Alarm not visible|Unknown
1024|Alarm, error of warning|Software
1025|Alarm, failure of warning|Software
1026|Altitude variations|Software
1027|Changes in ambient temperature in device environment|Hardware
1029|Antenna, failure of|Hardware
1031|Failure to Adhere or Bond|Hardware
1032|Arcing at paddles|Hardware
1033|Unintended arm motion|Hardware
1036|Artifact|Unknown
1039|Artificial|Unknown
1040|Lens, aspherical|Hardware
1041|Aspiration, excessive|Hardware
1042|Aspiration, incomplete|Hardware
1043|Augmentation, loss of|Unknown
1044|Inability to autofill|Hardware
1045|Automatic injection system, incompatible|Unknown
1046|Automatic injection system overinfusion|Hardware
1047|Failure to back-up|Software
1048|Failure to convert to back-up|Software
1049|Balloon rupture|Hardware
1050|Balloon asymmetrical|Hardware
1051|Balloon burst|Hardware
1052|Balloon leak(s)|Hardware
1053|Balloon mushroomed|Hardware
1054|Battery charger, defective|Hardware
1055|Battery failure|Hardware
1057|Premature discharge of battery|Hardware
1059|Bent|Hardware
1060|Bicarbonate|Hardware
1061|Lens, bifocal|Hardware
1062|Biofilm coating in device|Hardware
1063|Blank screen|Both
1064|Bleed back|Unknown
1065|Blockage within device or device component|Hardware
1067|Bolus mechanism failure|Unknown
1068|Loss of or failure to bond|Hardware
1069|Break|Hardware
1070|Bubble(s)|Hardware
1071|Burn of device or device component|Hardware
1073|Burrs, breakage of|Hardware
1074|Burst|Hardware
1075|Cathode ray tube (CRT) failure|Hardware
1076|Cable break|Hardware
1077|Calcified|Hardware
1078|Calibration error|Software
1079|Capacitive coupling|Hardware
1080|Intermittent capture|Both
1081|Failure to capture|Both
1082|Carbon absorption|Hardware
1083|Cautery|Hardware
1084|Channeling|Unknown
1085|Failure to charge|Hardware
1086|Charred|Hardware
1087|Chemical reaction|Hardware
1088|Circuit breaker tripped|Hardware
1089|Circuit Failure|Hardware
1090|Clean, failure to|Hardware
1091|Device Cleaning Issue|Hardware
1092|Clearance|Unknown
1093|Fiberoptic cleaver, failure of|Hardware
1094|Device clogged|Hardware
1095|Clumping in device or device ingredient|Hardware
1096|Coagulation in device or device ingredient|Hardware
1097|Coefficient error|Unknown
1098|Coiled|Hardware
1099|Collapse|Hardware
1100|Collimator design problem|Hardware
1101|Colony forming units|Unknown
1102|Compatibility|Unknown
1103|Component(s), broken|Software
1104|Detachment of device component|Hardware
1105|Component falling|Hardware
1106|Component(s), overheating of|Hardware
1107|Component(s), worn|Hardware
1108|Component incompatible|Hardware
1110|Computer failure|Both
1111|Computer hardware error|Hardware
1112|Computer software issue|Software
1113|Concentrate|Unknown
1114|Failure to conduct|Hardware
1115|Conductivity|Hardware
1116|Connection error|Hardware
1117|Connector pin failure|Hardware
1118|Contact lens, problem with trial set|Unknown
1120|Contamination during use|Unknown
1121|Intermittent continuity|Hardware
1122|Continuous|Unknown
1123|Continuous firing|Unknown
1124|Continuous mode failure|Unknown
1126|Use of Incorrect Control Settings|Unknown
1127|Cool, failure to|Unknown
1128|Coolant, contraindicated|Unknown
1129|Cooling system, failure of|Hardware
1130|Insufficient cooling|Hardware
1131|Corrosion|Hardware
1132|Counterbalance break|Hardware
1133|Failure to deliver countershock|Both
1134|Couple, failure to|Unknown
1135|Crack|Hardware
1136|Cross connection|Hardware
1137|Cross reactivity|Hardware
1138|Application interface becomes non-functional or program exits abnormally|Software
1139|Cuff degeneration|Hardware
1140|Cutoff point|Unknown
1141|Cutter-torque-cable twisted or tangled|Hardware
1142|Failure to cycle|Unknown
1143|Screw tapper, damaged|Hardware
1144|Declotting|Unknown
1145|Decoupling|Unknown
1146|Decrease in suction|Hardware
1147|Photomultiplier (PM) tube, defective|Hardware
1148|Deflation, cause unknown|Hardware
1149|Deflation issue|Hardware
1150|Deflation due to capsulotomy|Hardware
1151|Deflation due to damage from surgical instrument|Hardware
1152|Deflation due to trauma|Hardware
1153|Degraded|Hardware
1155|Deionizer, failure of|Hardware
1157|Difficult to deploy|Unknown
1158|Failure to deploy|Unknown
1159|Deprimed|Unknown
1161|Design/structure problem|Unknown
1162|Unintended energization|Both
1165|Dialysate|Unknown
1166|Dialyzer, failure of|Unknown
1168|Disassembly|Hardware
1169|Failure to discharge|Unknown
1170|Material discolored|Hardware
1171|Disconnection|Hardware
1172|Disengaged|Hardware
1175|Failure to disinfect|Hardware
1176|Disinfection, inadequate/improper|Hardware
1177|Material disintegration|Hardware
1178|Dislocated|Hardware
1179|Dislodged|Hardware
1180|Displacement|Hardware
1181|Display misread|Unknown
1182|Erratic display|Both
1183|No display or display failure|Hardware
1184|Incorrect display|Software
1185|Disposable|Hardware
1186|Dissection|Unknown
1187|Distilled water, contaminated|Hardware
1188|Dome collapse|Hardware
1189|Dose calculation error due to software problem|Software
1191|Drift|Unknown
1192|Dry, failure to|Hardware
1193|EKG/ECG analysis, failure to perform|Unknown
1194|Electro-magnetic interference (EMI)|Hardware
1195|Elective removal|Unknown
1196|Elective replacement|Unknown
1197|Shock, electrical|Hardware
1198|Electrical issue|Hardware
1199|Electrode(s), failure of|Hardware
1200|Electrode contact(s), problem with|Hardware
1201|Electrode(s), degeneration of|Hardware
1202|Electrode(s), fracture of|Hardware
1203|Electrode(s), migration of|Hardware
1205|Emergency power failure|Hardware
1206|Emergency stop button or switch failure|Hardware
1207|Emergency table stop failure|Hardware
1208|Endoscopic accessory fire or melt|Hardware
1209|Energy output to patient tissue incorrect|Both
1210|Energy spectrum incorrect|Both
1211|Failure to deliver energy|Hardware
1212|Entrapment of device or device component|Hardware
1213|Failure to remove enzymatic cleaner|Hardware
1214|Material erosion|Hardware
1215|Error or warning message, failure to produce|Software
1216|Device expiration issue|Unknown
1217|Explanted|Unknown
1218|Explode|Hardware
1219|External fiberoptic break|Hardware
1220|Needle, extra|Hardware
1221|Extraneous radiofrequency wave transmission|Unknown
1222|Fail-safe design failure|Hardware
1223|Failure, intermittent|Unknown
1224|False claim|Unknown
1225|False negative result|Unknown
1226|False device output|Unknown
1227|False positive result|Unknown
1228|False reading from device non-compliance|Unknown
1229|Fiberoptic break/separation|Hardware
1230|Fiberguide incompatibility|Hardware
1231|Fiberoptic cladding material separation|Hardware
1232|Lens, deposits on|Hardware
1233|Filling problem|Hardware
1234|Unintended ejection|Unknown
1235|Film processing, inadequate|Unknown
1236|Filter|Hardware
1237|Filter leak(s)|Hardware
1238|Filter break(s)|Hardware
1242|Filter tear(s)|Hardware
1243|Filter, assembly|Hardware
1244|Filter, inadequate|Hardware
1245|Fire|Hardware
1246|Flaked|Hardware
1247|Flammable|Hardware
1248|Restricted flowrate|Hardware
1249|Inaccurate flowrate|Both
1250|Fluid leak|Hardware
1251|Difficult to flush|Hardware
1252|Failure to flush|Hardware
1253|Fogging|Hardware
1254|Difficult to fold or unfold|Hardware
1255|Failure to fold|Hardware
1256|Footrest detachment|Hardware
1257|Footrest break|Hardware
1258|Footswitch failure|Hardware
1259|Foreign material|Hardware
1260|Fracture|Hardware
1261|Material fragmentation|Hardware
1262|Material frayed|Hardware
1263|Function indicator light(s), failure of|Hardware
1264|Gain, inadequate|Hardware
1265|Gas delivery system failure|Hardware
1266|Improper gas output|Hardware
1267|Gel leak|Hardware
1268|Germicide|Hardware
1269|Glass, shattered|Hardware
1270|Gradient increase|Unknown
1271|Grounding malfunction|Hardware
1272|Growth, will not support|Unknown
1274|Handpiece break|Hardware
1275|Handpiece detachment|Hardware
1276|Handrest detachment|Hardware
1277|Handrest break|Hardware
1278|Haptic(s), bent|Hardware
1279|Haptic(s), broken|Hardware
1280|Haptic(s), detached|Hardware
1281|Haptic(s), dislocated|Hardware
1282|Haptic(s), fractured|Hardware
1283|Head immobilizer failure|Hardware
1284|Unintended head motion|Unknown
1285|Heat|Hardware
1286|Heat, failure to|Hardware
1287|Insufficient heating|Hardware
1289|Hemofiltration|Unknown
1290|High flux rate|Unknown
1291|High impedance|Hardware
1293|Hole in material|Hardware
1294|Hose line occlusion|Hardware
1295|Hose line rupture|Hardware
1296|Hose mismatch|Hardware
1298|Hot oil leak|Hardware
1299|Hybrid failure|Hardware
1300|Hydraulic system failure|Hardware
1301|Hydrogen peroxide sterilization, explosion during|Hardware
1302|IV pole, detachment of parts from|Hardware
1303|Ignited|Hardware
1304|Image display error|Software
1305|Image orientation incorrect|Software
1306|Image resolution poor|Software
1307|Imprecision|Software
1309|Disc, incomplete opening of|Hardware
1310|Inflation issue|Hardware
1311|Excess flow or overinfusion|Hardware
1312|Injector system failure, no infusion|Hardware
1313|Injector system failure, overinfusion of|Hardware
1314|Injector system failure, underinfusion of|Hardware
1316|Difficult to insert|Hardware
1317|Installation error|Unknown
1318|Instruction for use issue|Unknown
1319|Inadequate instructions for healthcare professional|Unknown
1320|Insulation degradation|Hardware
1321|Insulation, detached|Hardware
1322|Insulation, discolored|Hardware
1323|Insulation failure|Hardware
1325|Insulation, hole(s) in|Hardware
1326|Insulation, none|Hardware
1327|Interference|Hardware
1328|Interference with monitoring device|Hardware
1329|Interference with pacemaker|Hardware
1330|Interlumen communication|Hardware
1331|Difficult to interrogate|Unknown
1332|Failure to interrogate|Unknown
1334|Intra-cavity procedure, fiberoptic break or fragmentation during|Hardware
1335|Intraprocedure, fire or flash during|Hardware
1336|Material invagination|Hardware
1337|Inability to irrigate|Hardware
1338|Kinetic|Hardware
1339|Kinked|Hardware
1340|Knotted|Hardware
1342|Laser nozzle separation|Hardware
1343|Laser output above specifications|Hardware
1344|Laser output, unintended|Both
1345|Laser pulse timing error|Both
1346|Laser tip separation|Hardware
1347|Lead(s), breakage of|Hardware
1348|Lead(s), burn(s) from|Hardware
1349|Lead(s), electrocution from|Hardware
1350|Lead(s), fracture of|Hardware
1351|Lead(s), shock from|Hardware
1352|Leaflet disc escape|Hardware
1354|Leak|Hardware
1355|Leak(s) from hydraulic bed system|Hardware
1357|Radiation leak|Hardware
1358|Image reversal|Software
1359|Lens, cloudy|Hardware
1360|Optical decentration|Hardware
1361|Lens, disc|Hardware
1362|Lens, discoloration of|Hardware
1363|Lens, malposition of|Hardware
1364|Lens, opacification of|Hardware
1365|Lens, repositioning of|Hardware
1366|Lens, vaulting|Hardware
1367|Lens washers, failure of|Hardware
1368|Linear|Unknown
1369|Lockout mechanism failure|Unknown
1370|Looping|Software
1371|Loose or intermittent connection|Hardware
1372|Loose|Hardware
1373|Lubrication|Hardware
1374|Milliamps (MA) rate, unable to increase|Software
1375|Magnet failure|Hardware
1376|Magnet mode discrepancy|Unknown
1377|Unintended magnet quench|Both
1378|Magnetic interference|Hardware
1379|Device maintenance issue|Hardware
1381|Markings unclear|Unknown
1382|Markings, none|Unknown
1383|Incorrect measurement|Both
1384|Mechanical issue|Hardware
1385|Melted|Hardware
1387|Device abrasion from instrument or another object|Hardware
1390|Membrane leak(s)|Hardware
1391|Membrane tear(s)|Hardware
1392|Meter|Unknown
1393|Method, improper/incorrect|Unknown
1395|Migration of device or device component|Unknown
1396|Mineralization|Hardware
1397|Misapplication|Unknown
1398|Misassembled|Hardware
1399|Misconnection|Hardware
1401|Misfocusing|Both
1402|Mislabeled|Unknown
1403|Mislocation|Unknown
1404|Misplacement|Unknown
1405|Moisture damage|Hardware
1406|Monitor display alarm, failure of|Both
1407|Monitor failure|Both
1408|Poor quality image|Software
1409|Motor failure|Hardware
1410|Motor drive unit (MDU) stalled or jammed|Hardware
1411|Lens, multifocal|Hardware
1414|Needle, dull|Hardware
1415|Needle, separation|Hardware
1416|Needle, unsheathed|Hardware
1418|Non-linear|Unknown
1419|Nonpyrogenic|Unknown
1420|Nonstandard device or device component|Unknown
1421|Delivered as unsterile product|Hardware
1422|Normal|Unknown
1423|Occlusion within device|Hardware
1424|Occlusion, incorrect|Hardware
1425|Device emits odor|Hardware
1426|Material opacification|Hardware
1429|Unintended collision|Hardware
1430|Unintended system motion|Hardware
1431|Output energy incorrect|Both
1432|Output above specifications|Hardware
1433|Output, high|Unknown
1434|Output, low|Unknown
1435|No device output|Both
1437|Overheating of device or device component|Hardware
1438|Oversensing|Unknown
1439|Failure to pace or properly pace|Both
1440|Pacer found in back-up mode|Software
1441|Pacing asynchronously|Both
1442|Pacing inadequately|Both
1443|Pacing intermittently|Both
1444|Unsealed device packaging|Hardware
1445|Pallet break|Hardware
1446|Pallet crack(s)|Hardware
1448|Paramagnetic|Hardware
1449|Parameter calculation error due to software problem|Software
1450|Paravalvular leak(s)|Hardware
1451|Particulates|Hardware
1454|Peeled|Hardware
1455|Percutaneous|Unknown
1456|Performance|Unknown
1457|Perivalvular leak|Hardware
1458|Phantom problem|Unknown
1459|Pierce|Hardware
1460|Pitted|Hardware
1461|Plugged|Hardware
1462|Plunge|Hardware
1463|Pocket stimulation|Hardware
1464|Poor gas exchange|Hardware
1465|Port leak(s)|Hardware
1466|Failure to run on portable mode|Software
1467|Difficult to position|Hardware
1469|Potency|Unknown
1470|Potentiometer readings, high|Hardware
1471|Potentiometer readings, low|Hardware
1473|Power calculation error due to software problem|Software
1474|Power Conditioning Issue|Both
1475|Loss of power|Hardware
1476|Failure to power-up|Hardware
1477|Pre or post-pumping problem|Unknown
1478|Precipitate in device or device ingredient|Hardware
1479|Precision|Unknown
1480|Premature end-of-life indicator|Unknown
1483|Premature elective replacement indicator|Unknown
1484|Premature deployment|Unknown
1485|Premature explantation|Unknown
1486|Premature system activation|Both
1487|Device Difficult to Setup or Prepare|Unknown
1488|Prep, failure to|Unknown
1489|Pressure sensor failure|Both
1490|Decrease in pressure|Hardware
1491|Increase in pressure|Hardware
1492|Failure to prime|Unknown
1493|Probe failure|Hardware
